filepath,label,is_background
train\008e5c_0-imgslice.0.0.jpg,0,0
train\008e5c_0-imgslice.0.1.jpg,0,1
train\008e5c_0-imgslice.0.2.jpg,0,1
train\008e5c_0-imgslice.0.3.jpg,0,1
train\008e5c_0-imgslice.0.4.jpg,0,1
train\008e5c_0-imgslice.1.0.jpg,0,0
train\008e5c_0-imgslice.1.1.jpg,0,1
train\008e5c_0-imgslice.1.2.jpg,0,1
train\008e5c_0-imgslice.1.3.jpg,0,1
train\008e5c_0-imgslice.1.4.jpg,0,1
train\008e5c_0-imgslice.10.0.jpg,0,0
train\008e5c_0-imgslice.10.1.jpg,0,0
train\008e5c_0-imgslice.10.2.jpg,0,0
train\008e5c_0-imgslice.10.3.jpg,0,0
train\008e5c_0-imgslice.10.4.jpg,0,0
train\008e5c_0-imgslice.11.0.jpg,0,0
train\008e5c_0-imgslice.11.1.jpg,0,0
train\008e5c_0-imgslice.11.2.jpg,0,0
train\008e5c_0-imgslice.11.3.jpg,0,0
train\008e5c_0-imgslice.11.4.jpg,0,0
train\008e5c_0-imgslice.12.0.jpg,0,0
train\008e5c_0-imgslice.12.1.jpg,0,0
train\008e5c_0-imgslice.12.2.jpg,0,0
train\008e5c_0-imgslice.12.3.jpg,0,0
train\008e5c_0-imgslice.12.4.jpg,0,0
train\008e5c_0-imgslice.13.0.jpg,0,0
train\008e5c_0-imgslice.13.1.jpg,0,0
train\008e5c_0-imgslice.13.2.jpg,0,0
train\008e5c_0-imgslice.13.3.jpg,0,0
train\008e5c_0-imgslice.13.4.jpg,0,0
train\008e5c_0-imgslice.14.0.jpg,0,0
train\008e5c_0-imgslice.14.1.jpg,0,0
train\008e5c_0-imgslice.14.2.jpg,0,0
train\008e5c_0-imgslice.14.3.jpg,0,0
train\008e5c_0-imgslice.14.4.jpg,0,0
train\008e5c_0-imgslice.15.0.jpg,0,0
train\008e5c_0-imgslice.15.1.jpg,0,0
train\008e5c_0-imgslice.15.2.jpg,0,0
train\008e5c_0-imgslice.15.3.jpg,0,0
train\008e5c_0-imgslice.15.4.jpg,0,0
train\008e5c_0-imgslice.16.0.jpg,0,0
train\008e5c_0-imgslice.16.1.jpg,0,0
train\008e5c_0-imgslice.16.2.jpg,0,0
train\008e5c_0-imgslice.16.3.jpg,0,0
train\008e5c_0-imgslice.16.4.jpg,0,0
train\008e5c_0-imgslice.17.0.jpg,0,0
train\008e5c_0-imgslice.17.1.jpg,0,0
train\008e5c_0-imgslice.17.2.jpg,0,0
train\008e5c_0-imgslice.17.3.jpg,0,0
train\008e5c_0-imgslice.17.4.jpg,0,0
train\008e5c_0-imgslice.18.0.jpg,0,0
train\008e5c_0-imgslice.18.1.jpg,0,0
train\008e5c_0-imgslice.18.2.jpg,0,0
train\008e5c_0-imgslice.18.3.jpg,0,0
train\008e5c_0-imgslice.18.4.jpg,0,0
train\008e5c_0-imgslice.19.0.jpg,0,0
train\008e5c_0-imgslice.19.1.jpg,0,0
train\008e5c_0-imgslice.19.2.jpg,0,0
train\008e5c_0-imgslice.19.3.jpg,0,0
train\008e5c_0-imgslice.19.4.jpg,0,0
train\008e5c_0-imgslice.2.0.jpg,0,0
train\008e5c_0-imgslice.2.1.jpg,0,1
train\008e5c_0-imgslice.2.2.jpg,0,1
train\008e5c_0-imgslice.2.3.jpg,0,1
train\008e5c_0-imgslice.2.4.jpg,0,1
train\008e5c_0-imgslice.20.0.jpg,0,0
train\008e5c_0-imgslice.20.1.jpg,0,0
train\008e5c_0-imgslice.20.2.jpg,0,0
train\008e5c_0-imgslice.20.3.jpg,0,0
train\008e5c_0-imgslice.20.4.jpg,0,0
train\008e5c_0-imgslice.21.0.jpg,0,0
train\008e5c_0-imgslice.21.1.jpg,0,0
train\008e5c_0-imgslice.21.2.jpg,0,0
train\008e5c_0-imgslice.21.3.jpg,0,0
train\008e5c_0-imgslice.21.4.jpg,0,0
train\008e5c_0-imgslice.22.0.jpg,0,1
train\008e5c_0-imgslice.22.1.jpg,0,1
train\008e5c_0-imgslice.22.2.jpg,0,1
train\008e5c_0-imgslice.22.3.jpg,0,1
train\008e5c_0-imgslice.22.4.jpg,0,0
train\008e5c_0-imgslice.23.0.jpg,0,1
train\008e5c_0-imgslice.23.1.jpg,0,1
train\008e5c_0-imgslice.23.2.jpg,0,1
train\008e5c_0-imgslice.23.3.jpg,0,1
train\008e5c_0-imgslice.23.4.jpg,0,0
train\008e5c_0-imgslice.24.0.jpg,0,1
train\008e5c_0-imgslice.24.1.jpg,0,1
train\008e5c_0-imgslice.24.2.jpg,0,1
train\008e5c_0-imgslice.24.3.jpg,0,1
train\008e5c_0-imgslice.24.4.jpg,0,0
train\008e5c_0-imgslice.25.0.jpg,0,1
train\008e5c_0-imgslice.25.1.jpg,0,1
train\008e5c_0-imgslice.25.2.jpg,0,1
train\008e5c_0-imgslice.25.3.jpg,0,1
train\008e5c_0-imgslice.25.4.jpg,0,0
train\008e5c_0-imgslice.26.0.jpg,0,1
train\008e5c_0-imgslice.26.1.jpg,0,1
train\008e5c_0-imgslice.26.2.jpg,0,1
train\008e5c_0-imgslice.26.3.jpg,0,1
train\008e5c_0-imgslice.26.4.jpg,0,0
train\008e5c_0-imgslice.27.0.jpg,0,1
train\008e5c_0-imgslice.27.1.jpg,0,1
train\008e5c_0-imgslice.27.2.jpg,0,1
train\008e5c_0-imgslice.27.3.jpg,0,1
train\008e5c_0-imgslice.27.4.jpg,0,0
train\008e5c_0-imgslice.3.0.jpg,0,0
train\008e5c_0-imgslice.3.1.jpg,0,1
train\008e5c_0-imgslice.3.2.jpg,0,1
train\008e5c_0-imgslice.3.3.jpg,0,1
train\008e5c_0-imgslice.3.4.jpg,0,1
train\008e5c_0-imgslice.4.0.jpg,0,0
train\008e5c_0-imgslice.4.1.jpg,0,1
train\008e5c_0-imgslice.4.2.jpg,0,1
train\008e5c_0-imgslice.4.3.jpg,0,1
train\008e5c_0-imgslice.4.4.jpg,0,1
train\008e5c_0-imgslice.5.0.jpg,0,0
train\008e5c_0-imgslice.5.1.jpg,0,1
train\008e5c_0-imgslice.5.2.jpg,0,1
train\008e5c_0-imgslice.5.3.jpg,0,1
train\008e5c_0-imgslice.5.4.jpg,0,1
train\008e5c_0-imgslice.6.0.jpg,0,0
train\008e5c_0-imgslice.6.1.jpg,0,0
train\008e5c_0-imgslice.6.2.jpg,0,0
train\008e5c_0-imgslice.6.3.jpg,0,1
train\008e5c_0-imgslice.6.4.jpg,0,1
train\008e5c_0-imgslice.7.0.jpg,0,0
train\008e5c_0-imgslice.7.1.jpg,0,0
train\008e5c_0-imgslice.7.2.jpg,0,0
train\008e5c_0-imgslice.7.3.jpg,0,0
train\008e5c_0-imgslice.7.4.jpg,0,0
train\008e5c_0-imgslice.8.0.jpg,0,0
train\008e5c_0-imgslice.8.1.jpg,0,0
train\008e5c_0-imgslice.8.2.jpg,0,0
train\008e5c_0-imgslice.8.3.jpg,0,0
train\008e5c_0-imgslice.8.4.jpg,0,0
train\008e5c_0-imgslice.9.0.jpg,0,0
train\008e5c_0-imgslice.9.1.jpg,0,0
